ax,ay,az,gx,gy,gz,id
-1.6666,-9.69093,-1.80778,-4.91805,97.3562,25.8736,4
-1.79342,-9.62153,-1.74437,-4.5068,94.6262,25.3836,4
-1.7348,-9.68016,-1.65464,-4.79555,91.1612,24.9024,4
-1.72762,-9.79501,-1.65464,-4.7168,87.7137,24.3774,4
-1.74556,-9.84407,-1.65822,-3.86806,84.3188,23.6861,4
-1.70249,-9.79382,-1.6654,-2.80931,80.9237,22.8549,4
-1.80179,-9.65623,-1.61515,-2.29306,70.52,20.3437,4
-1.78385,-9.62871,-1.62831,-2.68681,66.5913,19.2237,4
-1.75394,-9.64187,-1.63071,-3.16806,62.6801,18.1737,4
-1.72762,-9.72921,-1.63669,-3.70181,58.9001,17.2812,4
-1.71805,-9.85005,-1.65105,-3.74556,55.2951,16.3362,4
-1.84008,-9.89551,-1.62353,-2.91431,51.7163,15.3212,4
-1.97288,-9.84407,-1.58405,-1.78556,47.6826,14.2012,4
-2.0004,-9.85125,-1.53739,-1.01556,42.9576,13.0724,4
-2.03868,-9.89431,-1.53978,-0.333067,37.9789,11.8737,4
-2.06022,-9.87996,-1.56132,0.70818,32.8689,10.3512,4
-1.98245,-9.78664,-1.5984,2.22193,17.7402,5.62621,4
-1.92981,-9.7651,-1.6319,2.38818,13.1465,4.05996,4
-1.83051,-9.71964,-1.66181,2.60693,8.91147,2.59872,4
-1.73719,-9.68135,-1.68096,2.66817,5.15773,1.21622,4
-1.65224,-9.65623,-1.73121,2.51943,1.91149,0.00872517,4
-1.56849,-9.6,-1.78026,2.24817,-0.792252,-1.07627,4
-1.45364,-9.59043,-1.83769,1.86318,-3.04974,-1.90752,4
-1.35673,-9.60957,-1.88674,1.35568,-4.71224,-2.51127,4
-1.28614,-9.6335,-1.94536,1.01443,-5.77974,-2.88752,4
-1.19162,-9.61675,-1.98604,0.944429,-6.36598,-3.15876,4
-1.06481,-9.55334,-2.01476,0.0956818,-6.47973,-3.64876,4
-1.07079,-9.59282,-2.01715,-0.228067,-6.35723,-3.73626,4
-1.07438,-9.5988,-2.00518,-0.254317,-6.39223,-3.85001,4
-1.05882,-9.62034,-2.00279,-0.0793178,-6.45349,-3.78876,4
-1.08993,-9.65623,-1.99681,0.261931,-6.54973,-3.62251,4
-1.09113,-9.65144,-2.00638,0.67318,-6.69848,-3.42127,4
-1.06481,-9.60598,-1.99561,1.06693,-6.84723,-3.25502,4
-1.05523,-9.59521,-1.98485,1.30318,-6.95223,-3.07127,4
-1.00379,-9.58086,-2.02552,1.38193,-6.88223,-2.72127,4
-0.937986,-9.5988,-2.03509,1.44318,-6.55849,-2.43252,4
-0.978664,-9.53659,-1.96092,1.06693,-4.78224,-2.01252,4
-1.03011,-9.57966,-1.95135,0.63818,-4.59849,-2.03002,4
-1.04447,-9.61795,-1.94177,0.366931,-4.75599,-2.12627,4
-1.03968,-9.62392,-1.94297,0.393181,-4.93099,-2.28377,4
-1.03131,-9.6323,-1.94297,0.445681,-5.13224,-2.41502,4
