ax,ay,az,gx,gy,gz,id
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0.821934,1.45125,10.1659,-62.5647,-5.89643,-1.46277,3
0.78006,2.132,10.1575,-105.037,-10.0352,-2.56527,3
0.843469,2.4012,10.1432,-158.753,-15.2852,-2.72277,3
0.82672,1.78983,10.0798,-217.081,-20.7626,-2.91527,3
0.812363,0.187836,9.94576,-262.178,-25.5051,-1.43652,3
0.835095,-1.59601,9.59521,-285.444,-28.6114,0.93472,3
0.99661,-3.64786,9.18365,-287.43,-29.9326,2.68471,3
1.18564,-5.25822,9.02931,-272.065,-29.6439,3.36721,3
1.29332,-6.00718,8.98624,-235.149,-28.7776,3.83971,3
1.37468,-6.36849,8.9647,-190.936,-26.0826,3.89221,3
1.49192,-6.28953,8.55793,-55.906,-14.2439,1.38972,3
1.45005,-5.88395,8.32582,-18.9374,-9.72017,1.32847,3
1.40698,-5.44367,8.14875,11.6176,-5.61644,1.91472,3
1.37109,-5.20438,8.03509,34.3763,-2.0027,2.53596,3
1.37468,-5.62074,7.83051,57.5287,2.37229,3.22721,3
1.48235,-5.91864,7.82572,84.2949,6.66853,4.14596,3
1.48953,-5.99162,7.8999,115.768,12.1373,4.49596,3
1.45962,-6.55154,7.73479,160.56,19.776,5.44971,3
1.45364,-6.8662,7.7982,213.759,25.866,6.49096,3
1.40459,-6.29073,8.08534,263.346,29.541,5.19596,3
1.25982,-0.0275174,9.55453,285.203,33.2072,-0.0715271,3
1.13061,1.81615,10.1324,280.215,30.5997,-2.49527,3
0.867398,3.42652,10.7079,235.337,26.6097,-4.91901,3
0.600598,4.09053,10.8825,161.522,19.6885,-6.43276,3
0.585045,3.82732,10.7282,85.0648,10.6673,-6.80901,3
0.585045,3.17647,10.6576,16.6925,1.93479,-7.46526,3
0.611366,1.65224,10.5775,-31.3623,-4.16394,-8.454,3
0.624527,0.587438,10.3801,-58.251,-7.58518,-9.3815,3
0.64008,0.461814,10.1994,-73.5284,-10.0002,-10.2652,3
0.689132,0.57667,10.0008,-83.9497,-12.0739,-10.2565,3
0.848255,1.67019,9.55812,-132.145,-15.5827,-4.15776,3
0.927218,1.67139,9.52103,-163.496,-17.1926,-2.25027,3
0.96311,0.843469,9.43848,-191.959,-18.2514,0.0772225,3
1.02772,-0.510867,9.36072,-212.259,-18.4789,2.78971,3
1.08634,-2.10808,9.33559,-218.524,-17.8226,4.82846,3
1.15095,-3.21715,9.40738,-212.023,-16.6327,6.4122,3
1.20957,-3.83569,9.32841,-198.041,-15.6702,7.43595,3
1.23948,-4.47218,9.18963,-176.358,-14.2789,8.2672,3
1.2682,-4.79402,9.09152,-153.512,-13.1764,8.1622,3
1.27896,-5.02493,8.97308,-129.651,-11.9602,7.78595,3
1.36152,-5.04526,8.75653,-81.5522,-9.63268,5.59846,3
