timestamp,ax,ay,az,gx,gy,gz,TARGET
1947979,-3.714855,-9.186039,-1.221535,17.645120,117.131472,8.297329,8
1947989,-4.366899,-9.071182,-0.830309,19.719018,122.696841,8.069813,8
1947999,-4.366899,-9.071182,-0.830309,21.154122,124.692011,7.186003,8
1948008,-5.121832,-9.058025,0.291924,21.276634,121.970546,5.418371,8
1948018,-5.882750,-9.113060,0.291924,19.850282,113.718712,2.758178,8
1948028,-6.538383,-9.196808,0.897308,17.505112,100.286472,-0.505810,8
1948038,-7.081553,-9.189629,1.255034,15.439961,82.260160,-3.516030,8
1948047,-7.160517,-8.934792,1.433300,14.293622,61.521134,-5.712439,8
1948057,-7.066000,-8.785240,1.588833,12.849770,40.047073,-6.753767,8
1948067,-6.940376,-8.804386,1.575673,10.819619,18.398003,-7.243801,8
1948077,-6.601793,-8.840279,1.421336,9.104492,-2.726045,-7.471319,8
1948087,-6.206978,-8.830704,1.247856,7.791899,-22.239969,-7.725086,8
1948097,-5.873178,-8.699100,0.996610,6.199282,-39.688751,-7.803843,8
1948107,-5.416149,-8.583050,0.658026,3.967872,-54.302306,-7.287556,8
1948117,-5.000996,-8.567497,0.376869,1.430185,-65.809388,-6.202475,8
1948127,-4.612162,-8.524426,0.144766,-1.405022,-74.218750,-4.994888,8
1948137,-4.194616,-8.560318,-0.069392,-4.458996,-79.880404,-3.577285,8
1948147,-3.841675,-8.729012,-0.256032,-7.031683,-82.846899,-2.212185,8
1948157,-3.560518,-8.859421,-0.435493,-8.134266,-83.669434,-1.267116,8
1948167,-3.244665,-8.922829,-0.524028,-8.466785,-82.496862,-0.505810,8
1948176,-3.119042,-9.020935,-0.591027,-8.624298,-79.722934,0.264246,8
1948186,-2.993419,-9.019741,-0.747756,-8.108009,-75.960145,0.789284,8
1948196,-2.651246,-9.035294,-0.911665,-7.924248,-70.665984,1.349325,8
1948206,-2.286340,-9.150146,-1.097108,-8.440536,-63.026719,2.136882,8
1948215,-2.115253,-9.189629,-1.217946,-7.731733,-53.339753,2.460656,8
1948225,-2.055433,-9.146557,-1.226321,-6.349133,-42.471452,2.460656,8
1948235,-2.069790,-9.158524,-1.220339,-5.194048,-31.323135,2.556913,8
1948245,-2.121236,-9.177666,-1.146162,-4.353987,-20.209825,2.521910,8
1948255,-2.362911,-9.145359,-1.022931,-3.697690,-9.831562,2.215637,8
1948265,-2.565104,-9.203987,-0.831505,-3.093895,-0.529634,1.856862,8
1948275,-3.067596,-9.337982,-0.641276,-1.816302,6.803400,1.296821,8
1948285,-3.388235,-9.253040,-0.460618,-0.162431,11.878769,0.124236,8
1948295,-3.523429,-9.253040,-0.319442,0.651378,15.510288,-0.742078,8
1948306,-3.682551,-9.297306,-0.253639,1.648951,18.319244,-1.284617,8
1948316,-3.929011,-9.207577,-0.118445,3.241568,20.200632,-1.792155,8
1948327,-4.183847,-9.083149,0.063410,4.230389,20.550652,-2.212185,8
1948337,-4.354935,-8.985043,0.171087,4.116631,19.045540,-2.605964,8
1948348,-4.342970,-8.974277,0.200997,3.127809,16.350349,-3.069747,8
1948358,-4.313061,-9.016151,0.203390,1.946473,13.331379,-3.551033,8
1948369,-4.228115,-8.989830,0.177069,0.966402,10.286156,-4.146076,8
1949693,-5.493917,-8.835491,0.075374,17.137589,105.755639,-2.395948,8
1949703,-6.431904,-8.916847,0.848255,14.783661,92.708406,-3.621038,8
1949713,-7.123428,-8.952740,1.301695,11.362160,73.211975,-5.292408,8
1949723,-7.278963,-8.781654,1.472781,8.281933,50.162826,-6.613756,8
1949733,-7.210766,-8.578262,1.679760,5.192959,26.054809,-7.313808,8
1949743,-7.186838,-8.646461,1.670189,1.132663,1.719280,-7.357561,8
1949753,-7.007376,-8.791225,1.568494,-2.052568,-22.625000,-7.287556,8
1949764,-6.738184,-8.796013,1.349551,-3.960210,-46.050463,-7.235052,8
1949774,-6.502491,-8.666798,1.121037,-5.290306,-67.953277,-7.173796,8
1949785,-6.240477,-8.622528,0.898504,-7.337955,-87.852240,-7.147545,8
1949795,-6.040676,-8.707478,0.653240,-10.155659,-106.018579,-7.130045,8
1949806,-5.794214,-8.754135,0.357727,-12.544587,-122.268522,-6.972530,8
1949816,-5.394615,-8.766102,0.066999,-14.434728,-135.945678,-6.596254,8
1949827,-4.971087,-8.840279,-0.203390,-16.106094,-146.446466,-5.756193,8
1949837,-4.505682,-8.938381,-0.482153,-17.401192,-153.700805,-4.776121,8
1949848,-3.951745,-9.061615,-0.827916,-18.503770,-157.463503,-3.752297,8
1949858,-3.002990,-9.200397,-1.251445,-19.317581,-156.728449,-2.982241,8
1949869,-2.037487,-9.407375,-1.611565,-19.501335,-150.104308,-2.422199,8
1949879,-1.371087,-9.637085,-1.904685,-17.908722,-138.115847,-2.273439,8
1949890,-1.052841,-9.605980,-2.042273,-14.548485,-122.592282,-3.069747,8
1949900,-0.836291,-9.237484,-2.051844,-11.153237,-105.309784,-4.364841,8
1949911,-0.677168,-9.055630,-2.105682,-9.788132,-86.819677,-4.916132,8
1949921,-0.189033,-9.251842,-2.178663,-9.718128,-67.340732,-4.977385,8
1949932,-0.010768,-9.384644,-2.222931,-9.473110,-46.190476,-4.732367,8
1949942,-0.211765,-9.836887,-2.356929,-8.711807,0.809214,-2.457203,8
1949953,-0.463011,-9.560516,-2.243270,0.327605,23.770890,-2.124679,8
